Breed_ID,Breed_name,AltBreedName,PetGroup1,PetGroup2,MaleWtLb,Fur_Length,Avg_life_time,Temperament,Pet_Category_ID
0280,Extra-Toes Cat (Hemingway Polydactyl),,,,11,Medium,,Six-Toed,2
0281,Havana,,,,9,Medium,,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",2
0282,Himalayan,,,,13,Long,,"Dependent, Gentle, Intelligent, Quiet, Social",2
0283,Japanese Bobtail,,,,9,Long,,"Active, Agile, Clever, Easygoing, Intelligent, Lively, Loyal, Playful, Social",2
0284,Javanese,,,,9,Medium,,"Active, Devoted, Intelligent, Playful",2
0285,Korat,,,,9,Long,,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",2
0286,LaPerm,,,,9,Long,,"Intelligent, Clever, Active, Genlte",2
0287,Maine Coon,,,,15,Long,,"Adaptable, Intelligent, Loving, Gentle, Independent",2
0288,Manx,,,,11,Short,,"Easygoing, Intelligent, Loyal, Playful, Social",2
0289,Munchkin,,,,7,Medium,,"Agile, Easygoing, Intelligent, Playful",2
0290,Nebelung,,,,9,Long,,"Gentle, Quiet, Shy, Playful",2
0291,0rwegian Forest Cat,,,,13,Long,,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",2
0292,Ocicat,,,,13,Short,,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",2
0293,Oriental Long Hair,,,,9,Long,,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",2
0294,Oriental Short Hair,,,,9,Short,,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",2
0295,Oriental Tabby,,,,9,Medium,,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",2
0296,Persian,,,,13,Long,,"Affectionate, Loyal, Sedate, Quiet",2
0297,Pixie-Bob,,,,13,Medium,,"Affectionate, Social, Intelligent, Loyal",2
0298,Ragamuffin,,,,15,Medium,,"Affectionate, Friendly, Gentle, Calm",2
0299,Ragdoll,,,,15,Long,,"Affectioante, Friendly, Gentle, Quiet, Easygoing",2
0300,Russian Blue,,,,9,Short,,"Active, Dependent, Easygoing, Gentle, Intelligent, Loyal, Playful, Quiet",2
0301,Scottish Fold,,,,9,Short,,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",2
0302,Selkirk Rex,,,,13,Long,,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",2
0303,Siamese,,,,13,Short,,"Active, Agile, Clever, Sociable, Loving, Energetic",2
0304,Siberian,,,,13,Long,,"Intelligent, Loyal, Quiet, Active",2
0305,Silver,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0306,Singapura,,,,7,Short,,"Affectionate, Curious, Easygoing, Intelligent, Interactive, Lively, Loyal",2
0307,S0wshoe,,,,11,Short,,"Affectionate, Social, Intelligent, Sweet-tempered",2
0308,Somali,,,,11,Long,,"Mischevious, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",2
0309,Sphynx (hairless cat),,,,11,Bald,,"Loyal, Inquisitive, Friendly, Quiet, Gentle",2
0310,Tabby,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0311,Tiger,,,,13,Short,,"Playful, Social, Intelligent",2
0312,Tonkinese,,,,11,Medium,,"Curious, Intelligent, Social, Lively, Outgoing, Playful, Affectionate",2
0313,Torbie,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0314,Tortoiseshell,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0315,Turkish Angora,,,,9,Long,,"Affectionate, Agile, Clever, Gentle, Intelligent, Playful, Social",2
0316,Turkish Van,,,,13,Long,,"Agile, Intelligent, Loyal, Playful, Energetic",2
0317,Tuxedo,,,,13,Short,,"Active, Curious, Easygoing, Playful, Calm",2
0318,Mixed Breed,,,,,,,,2
